Datetime,UKREIS,UJAHR,UMONAT,UWOCHENTAG,USTUNDE,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,ULICHTVERH,STRZUSTAND,longitude,latitude,Stadtteil,Ortsteil,Datetime
2016-02-01,11,2016,2,5,16,3,5,3,1,1,0,0,0,0,0,0,8.776486232,53.096881165,Walle,Steffensweg,2016-2
2016-02-01,11,2016,2,6,18,3,0,1,1,0,0,0,0,0,2,1,8.830751259,53.07146958,Östliche Vorstadt,Steintor,2016-2
2016-03-01,11,2016,3,3,11,3,5,3,1,1,0,0,0,0,0,0,8.821304602,53.072757536,Mitte,Ostertor,2016-3
2016-02-01,11,2016,2,2,12,3,0,3,1,1,0,0,0,0,0,0,8.738950924,53.047743835,Huchting,Kirchhuchting,2016-2
2016-02-01,11,2016,2,4,8,3,5,3,1,1,0,0,0,0,0,2,8.857928574,53.082487117,Vahr,Gartenstadt Vahr,2016-2
2016-02-01,11,2016,2,3,22,3,5,2,1,1,0,0,0,0,2,1,8.813025515,53.080937415,Mitte,Bahnhofsvorstadt,2016-2
2016-02-01,11,2016,2,4,9,2,3,6,1,0,0,0,0,0,0,0,8.870205464,53.09772992,Horn-Lehe,Horn,2016-2
2016-02-01,12,2016,2,3,17,3,0,1,1,0,0,0,0,0,2,0,8.589619577,53.564823316,Lehe (BHV),Klushof,2016-2
2016-02-01,11,2016,2,5,15,3,5,3,1,1,0,0,0,0,0,0,8.804633991,53.085786331,Mitte,Bahnhofsvorstadt,2016-2
2016-03-01,11,2016,3,6,8,3,0,7,1,0,0,0,0,0,0,0,8.880867902,53.076783503,Vahr,Neue Vahr Südwest,2016-3
2016-01-01,11,2016,1,6,22,2,0,7,1,0,0,0,0,0,2,1,8.906857949,53.126436753,Unbekannt,Borgfeld,2016-1
2016-02-01,11,2016,2,4,17,3,0,4,1,0,1,0,0,0,2,1,8.802188515,53.067615068,Neustadt,Buntentor,2016-2
2016-03-01,11,2016,3,3,9,3,5,3,1,1,0,0,0,0,0,0,8.827755375,53.068842158,Östliche Vorstadt,Steintor,2016-3
2016-02-01,11,2016,2,1,18,3,4,2,1,1,0,0,0,0,2,0,8.763508815,53.108928882,Gröpelingen,Lindenhof,2016-2
2016-02-01,11,2016,2,3,14,3,1,5,1,1,0,0,0,0,0,0,8.836513966,53.083255328,Schwachhausen,Schwachhausen,2016-2
2016-02-01,11,2016,2,4,18,3,5,3,1,1,0,0,0,0,2,1,8.794903222,53.093939896,Walle,Utbremen,2016-2
2016-02-01,11,2016,2,3,8,3,5,3,1,1,0,0,0,0,0,0,8.867779119,53.072669373,Hemelingen,Hastedt,2016-2
2016-03-01,11,2016,3,3,15,3,1,5,1,1,0,0,0,0,0,0,8.818860382,53.051219782,Neustadt,Huckelriede,2016-3
2016-02-01,11,2016,2,4,18,2,5,2,1,1,0,0,0,0,2,1,8.767135232,53.111737521,Gröpelingen,Lindenhof,2016-2
2016-01-01,11,2016,1,4,7,3,5,3,1,1,0,0,0,0,2,1,8.936343896,53.073735697,Osterholz,Ellenerbrok-Schevemoor,2016-1
2016-02-01,11,2016,2,2,17,3,5,3,1,1,0,0,0,0,0,0,8.951210891,53.06508168,Osterholz,Tenever,2016-2
2016-01-01,12,2016,1,5,7,3,5,3,1,1,0,0,0,0,2,0,8.586609738,53.566366821,Lehe (BHV),Klushof,2016-1
2016-02-01,11,2016,2,2,16,3,6,4,1,0,1,0,0,0,0,1,8.852274825,53.086008941,Schwachhausen,Radio Bremen,2016-2
2016-01-01,11,2016,1,4,18,3,5,2,1,1,0,0,0,0,2,1,8.888109857,53.066530225,Hemelingen,Sebaldsbrück,2016-1
2016-02-01,11,2016,2,2,12,2,5,3,1,1,0,0,0,0,0,1,8.81735424,53.098377297,Findorff,Weidedamm,2016-2
2016-01-01,11,2016,1,4,14,3,5,3,1,1,0,0,0,0,0,0,8.905480416,53.050590435,Hemelingen,Hemelingen,2016-1
2016-02-01,11,2016,2,4,9,3,5,3,1,1,0,0,0,0,0,1,8.847364511,53.085028286,Schwachhausen,Schwachhausen,2016-2
2016-02-01,11,2016,2,2,18,3,5,3,1,1,0,0,0,0,0,1,8.793428594,53.073917887,Neustadt,Alte Neustadt,2016-2
2016-03-01,11,2016,3,3,7,3,5,3,1,1,0,0,0,0,0,0,8.828852192,53.041836089,Obervieland,Kattenturm,2016-3
2016-01-01,12,2016,1,3,13,3,6,7,1,0,1,0,0,0,0,0,8.584653316,53.556711339,Lehe (BHV),Goethestrasse,2016-1
2016-03-01,11,2016,3,4,7,3,5,3,1,1,0,0,0,0,1,1,8.80653592,53.087287949,Findorff,Findorff-Bürgerweide,2016-3
2016-01-01,11,2016,1,2,8,2,1,5,1,0,0,0,1,0,1,1,8.808913879,53.074163814,Mitte,Altstadt,2016-1
2016-01-01,11,2016,1,5,11,3,3,6,1,1,0,0,0,0,0,0,8.599300784,53.179365287,Vegesack,Fähr-Lobbendorf,2016-1
2016-02-01,12,2016,2,6,7,3,0,7,1,0,0,0,0,0,0,2,8.602303318,53.57202338,Lehe (BHV),Schierholz,2016-2
2016-01-01,12,2016,1,3,13,3,5,3,1,1,0,0,0,0,0,0,8.559991088,53.572875696,Häfen (BHV),Stadtbremisches Überseehafengebiet Bremerhaven,2016-1
2016-02-01,12,2016,2,6,8,3,5,3,1,0,0,1,0,0,0,2,8.6061325,53.522140298,Geestemünde,Grünhöfe,2016-2
2016-01-01,11,2016,1,5,13,3,5,3,1,1,0,0,0,1,0,1,8.932147474,53.040040894,Hemelingen,Mahndorf,2016-1
2016-01-01,11,2016,1,2,8,3,2,2,1,1,0,0,0,0,0,1,8.822840771,53.082839755,Schwachhausen,Barkhof,2016-1
2016-02-01,11,2016,2,3,19,3,0,3,1,1,0,0,0,0,2,1,8.864158638,53.099120124,Horn-Lehe,Lehe,2016-2
2016-01-01,11,2016,1,5,17,3,5,2,1,1,0,0,0,0,2,1,8.784042183,53.07556884,Woltmershausen,Woltmershausen,2016-1
2016-02-01,11,2016,2,3,14,2,5,3,1,0,0,0,1,0,0,0,8.729096426,53.085685483,Häfen,Neustädter Hafen,2016-2
2016-02-01,11,2016,2,6,13,3,0,7,1,0,0,0,0,0,0,1,8.946480002,53.049811774,Osterholz,Osterholz,2016-2
2016-01-01,11,2016,1,5,8,3,5,2,1,1,0,0,0,0,2,1,8.628419423,53.168588585,Vegesack,Grohn,2016-1
2016-02-01,11,2016,2,3,17,3,5,3,1,1,0,0,0,0,2,1,8.904453109,53.078509048,Vahr,Neue Vahr Südost,2016-2
2016-03-01,11,2016,3,3,17,3,5,3,1,1,0,0,0,0,0,1,8.877636687,53.08027857,Vahr,Neue Vahr Südwest,2016-3
2016-03-01,12,2016,3,3,10,2,5,2,1,1,0,0,0,0,0,0,8.600023545,53.570172904,Lehe (BHV),Klushof,2016-3
2016-03-01,11,2016,3,1,15,3,0,3,1,1,0,0,0,0,0,0,8.605416861,53.178761422,Vegesack,Fähr-Lobbendorf,2016-3
2016-04-01,11,2016,4,6,14,3,5,3,1,1,0,0,0,0,0,0,8.862920381,53.090309473,Schwachhausen,Riensberg,2016-4
2016-04-01,11,2016,4,3,14,3,5,3,1,1,0,0,0,0,0,0,8.675495965,53.173586747,Burglesum,Lesum,2016-4
2016-03-01,11,2016,3,4,9,3,5,2,1,1,0,0,0,0,0,0,8.76082884,53.112974928,Gröpelingen,Lindenhof,2016-3
2016-03-01,11,2016,3,5,16,3,0,7,1,0,0,0,0,0,0,0,8.956267167,53.066453751,Osterholz,Tenever,2016-3
