,UKREIS,UJAHR,UMONAT,UWOCHENTAG,USTUNDE,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,ULICHTVERH,STRZUSTAND,longitude,latitude,Stadtteil,Ortsteil,geometry
48,11,2016,1,2,16,2,0,1,1,0,0,0,0,0,1,1,8.871147347,53.061774517,Hemelingen,Hastedt,POINT (8.871147347000001 53.061774517)
49,11,2016,2,6,8,3,5,2,1,1,0,0,0,0,0,0,8.77783317,53.099440454,Walle,Walle,POINT (8.777833169999999 53.099440454)
50,12,2016,2,5,15,3,5,3,1,1,0,0,0,0,0,0,8.608847635,53.586867854,Leherheide,Fehmoor,POINT (8.608847635 53.586867854)
51,11,2016,1,7,20,3,0,7,1,0,0,0,0,0,2,1,8.820560699,53.07268377,Mitte,Ostertor,POINT (8.820560699 53.07268377)
52,11,2016,2,2,9,3,5,3,1,1,0,0,0,0,0,0,8.741398264,53.048437663,Huchting,Kirchhuchting,POINT (8.741398264000001 53.048437663)
53,11,2016,1,7,3,3,0,7,1,0,0,0,0,0,2,0,8.801194857,53.068232461,Neustadt,Südervorstadt,POINT (8.801194857 53.068232461)
54,11,2016,2,1,11,3,5,3,1,1,0,0,0,0,0,0,8.818102926,53.077723658,Mitte,Ostertor,POINT (8.818102926 53.077723658)
55,12,2016,3,3,13,3,1,5,1,1,0,0,0,0,0,0,8.584696902,53.540601103,Mitte,Weddewarden,POINT (8.584696901999999 53.540601103)
56,11,2016,2,4,13,3,5,2,1,1,0,0,0,0,0,0,8.952718168,53.068932465,Osterholz,Ellenerbrok-Schevemoor,POINT (8.952718168000001 53.068932465)
57,11,2016,2,6,9,3,1,5,1,1,0,0,0,0,0,0,8.849983713,53.081303897,Schwachhausen,Gete,POINT (8.849983713 53.081303897)
58,12,2016,1,6,15,3,5,3,1,1,0,0,0,0,0,1,8.577351311,53.548351462,Mitte,Weddewarden,POINT (8.577351310999999 53.548351462)
