,UKREIS,UJAHR,UMONAT,UWOCHENTAG,USTUNDE,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,ULICHTVERH,STRZUSTAND,longitude,latitude,Stadtteil,Ortsteil
63,11,2016,1,6,16,3,0,1,1,0,0,0,0,0,0,1,8.802416094,53.067476752,Neustadt,Buntentor
64,11,2016,2,6,5,3,5,3,1,1,0,0,0,0,2,0,8.777148222,53.095924799,Walle,Steffensweg
65,11,2016,2,5,16,3,5,3,1,1,0,0,0,0,0,0,8.776486232,53.096881165,Walle,Steffensweg
66,11,2016,2,6,18,3,0,1,1,0,0,0,0,0,2,1,8.830751259,53.07146958,Östliche Vorstadt,Steintor
67,11,2016,3,3,11,3,5,3,1,1,0,0,0,0,0,0,8.821304602,53.072757536,Mitte,Ostertor
68,11,2016,2,2,12,3,0,3,1,1,0,0,0,0,0,0,8.738950924,53.047743835,Huchting,Kirchhuchting
69,11,2016,2,4,8,3,5,3,1,1,0,0,0,0,0,2,8.857928574,53.082487117,Vahr,Gartenstadt Vahr
70,11,2016,2,3,22,3,5,2,1,1,0,0,0,0,2,1,8.813025515,53.080937415,Mitte,Bahnhofsvorstadt
71,11,2016,2,4,9,2,3,6,1,0,0,0,0,0,0,0,8.870205464,53.09772992,Horn-Lehe,Horn
72,12,2016,2,3,17,3,0,1,1,0,0,0,0,0,2,0,8.589619577,53.564823316,Lehe (BHV),Klushof
73,11,2016,2,5,15,3,5,3,1,1,0,0,0,0,0,0,8.804633991,53.085786331,Mitte,Bahnhofsvorstadt
74,11,2016,3,6,8,3,0,7,1,0,0,0,0,0,0,0,8.880867902,53.076783503,Vahr,Neue Vahr Südwest
75,11,2016,1,6,22,2,0,7,1,0,0,0,0,0,2,1,8.906857949,53.126436753,Unbekannt,Borgfeld
76,11,2016,2,4,17,3,0,4,1,0,1,0,0,0,2,1,8.802188515,53.067615068,Neustadt,Buntentor
77,11,2016,3,3,9,3,5,3,1,1,0,0,0,0,0,0,8.827755375,53.068842158,Östliche Vorstadt,Steintor
78,11,2016,2,1,18,3,4,2,1,1,0,0,0,0,2,0,8.763508815,53.108928882,Gröpelingen,Lindenhof
79,11,2016,2,3,14,3,1,5,1,1,0,0,0,0,0,0,8.836513966,53.083255328,Schwachhausen,Schwachhausen
80,11,2016,2,4,18,3,5,3,1,1,0,0,0,0,2,1,8.794903222,53.093939896,Walle,Utbremen
81,11,2016,2,3,8,3,5,3,1,1,0,0,0,0,0,0,8.867779119,53.072669373,Hemelingen,Hastedt
82,11,2016,3,3,15,3,1,5,1,1,0,0,0,0,0,0,8.818860382,53.051219782,Neustadt,Huckelriede
83,11,2016,2,4,18,2,5,2,1,1,0,0,0,0,2,1,8.767135232,53.111737521,Gröpelingen,Lindenhof
84,11,2016,1,4,7,3,5,3,1,1,0,0,0,0,2,1,8.936343896,53.073735697,Osterholz,Ellenerbrok-Schevemoor
85,11,2016,2,2,17,3,5,3,1,1,0,0,0,0,0,0,8.951210891,53.06508168,Osterholz,Tenever
86,12,2016,1,5,7,3,5,3,1,1,0,0,0,0,2,0,8.586609738,53.566366821,Lehe (BHV),Klushof
